Date,Message
"Mar 11, 2018 ",BART recovering: 10 min delay on SF line in SFO and MLBR dirs due to obstruction. 
"Mar 10, 2018 ","BART recovering: 10 min delay at DELN on RICH line in WARM, RICH and MLBR dirs due to police activity. "
"Mar 10, 2018 ","10 min delay at DELN on RICH line in WARM, RICH and MLBR dirs due to police activity. "
"Mar 09, 2018 ",Oak airport connector is back in svc. 
"Mar 09, 2018 ",Oak airport connector is out of svc due to mechanical probs. For Oak airport take ac transit bus #73 from COLS stn. 
"Mar 09, 2018 ","BART recovering: 10 min delay on WARM line in DUBL, WARM, RICH and DALY dirs due to a medical emergency. "
"Mar 09, 2018 ","10 min delay on WARM line in DUBL, WARM, RICH and DALY dirs due to a medical emergency. "
"Mar 09, 2018 ",BART recovering: normal train svc has been restored at MACR stn. All trains are now stopping. 
"Mar 09, 2018 ",10 min delay on PITT line in PITT dir due to police activity. 
"Mar 09, 2018 ",Stn closure at MACR due to a major medical emergency. Trains are running through and not stopping. 
"Mar 08, 2018 ",A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX 
"Mar 08, 2018 ",Stn closure at MACR due to a major medical emergency. 
"Mar 08, 2018 ","Major delay at MACR in PITT, FRMT, RICH and SF dirs due to a major medical emergency. "
"Mar 08, 2018 ",BART recovering: 10 min delay at MLBR in RICH dir due to an earlier equipment prob on track. 
"Mar 07, 2018 ",BART recovering: 10 min delay system wide. 
"Mar 07, 2018 ","BART recovering: 20 min delay system wide in RICH, DALY, DUBL pleasanton, WARM, and FRMT dirs. "
"Mar 07, 2018 ","BART recovering: major delay on WARM line in DUBL, FRMT, RICH and DALY dirs. "
"Mar 07, 2018 ","Major delay on WARM line in DUBL, WARM, RICH and DALY dirs due to equip prob. "
"Mar 07, 2018 ",10 min delay on WARM line in RICH and DALY dirs due to equip prob. 
"Mar 07, 2018 ",BART recovering:at UCTY due to police activity. Trains are now stopping at UCTY. 
"Mar 07, 2018 ",Trains are not stopping at UCTY due to police activity. 
"Mar 05, 2018 ",BART recovering: 10 min delay at WOAK in East Bay and SF dirs due to police activity and a train with a mechanical prob. 
"Mar 05, 2018 ",BART recovering: 10 min delay at WOAK in East Bay dir due to police activity. 
"Mar 05, 2018 ",10 min delay at WOAK in East Bay dir due to police activity. 
"Mar 05, 2018 ",BART recovering: trains are now stopping at ROCK. Normal svc at ROCK. 
"Mar 05, 2018 ",Trains are not stopping at ROCK due to police activity. 
"Mar 03, 2018 ",BART recovering: 10 min delay at 19TH in PITT and RICH dirs due to police activity. 
"Mar 03, 2018 ",10 min delay at 19TH in PITT and RICH dirs due to police activity. 
"Mar 02, 2018 ","20 min delay on SF line in SFO, MLBR and DALY dirs due to equip prob. "
"Mar 01, 2018 ",BART recovering: 10 min delay at WARM in DALY dir due to an earlier equipment prob on a train. 
"Mar 01, 2018 ",BART recovering: 20 min delay system wide due to police activity at 24TH and wet weather. 
"Mar 01, 2018 ","20 min delay at SF stns in SFO, MLBR and DALY dirs due to police activity at 24th st and wet weather conditions. "
"Mar 01, 2018 ",BART recovering: 10 min delay in downtown Oak in SFO and MLBR dirs due to equip prob. 
"Mar 01, 2018 ",10 min delay in downtown Oak in SFO and MLBR dirs due to equip prob. 
"Mar 01, 2018 ",BART recovering: 10 min delay on FRMT line in WARM dir due to equip prob. 
"Feb 28, 2018 ",BART recovering: 10 min delay on FRMT line in DALY dir due to equip prob. 
"Feb 28, 2018 ",10 min delay on FRMT line in DALY dir due to equip prob. 
"Feb 28, 2018 ",This is a test we have no delays to report. This is a test 
"Feb 27, 2018 ","BART recovering: major delay between 24TH and GLEN on SF line in SFO, MLBR, DALY and East Bay dirs due to equip prob. "
"Feb 27, 2018 ","Major delay between 24TH and GLEN on SF line in SFO, MLBR, DALY and East Bay dirs due to equip prob. "
"Feb 27, 2018 ","20 min delay between 24TH and GLEN on SF line in SFO, MLBR, DALY and East Bay dirs due to equip prob. "
"Feb 27, 2018 ",BART recovering: 10 min delay at WOAK in East Bay dir due to police activity. 
"Feb 27, 2018 ",10 min delay at WOAK in East Bay dir due to police activity. 
"Feb 27, 2018 ","BART recovering: 10 min delay at BAYF in WARM, FRMT, RICH and DALY dirs due to police activity. "
"Feb 27, 2018 ","10 min delay at BAYF in WARM, FRMT, RICH and DALY dirs due to police activity. "
"Feb 27, 2018 ","BART recovering: 10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to equip prob and police activity. "
"Feb 27, 2018 ",BART recovering: 10 min delay between FTVL and LAKE in RICH and DALY dirs due to equip prob. 
"Feb 27, 2018 ",10 min delay between FTVL and LAKE in RICH and DALY dirs due to equip prob. 
"Feb 26, 2018 ","BART recovering: 20 min delay on WARM line in DUBL, WARM and FRMT dirs due to equip prob. "
"Feb 26, 2018 ","20 min delay on FRMT line in DUBL, WARM and FRMT dirs due to equip prob. "
"Feb 26, 2018 ","10 min delay at LAKE in DUBL, WARM and FRMT dirs due to equip prob. "
"Feb 26, 2018 ",BART recovering: 10 min delay at NCON in PITT and SFO dirs due to an earlier major medical emergency. 
"Feb 26, 2018 ",Major delay at NCON in PITT and SFO dirs due to a major medical emergency. 
"Feb 25, 2018 ",BART recovering: 10 min delay between SFO and MLBR in PITT and SF dirs due to an earlier equipment prob on track. 
"Feb 25, 2018 ",10 min delay between SFO and MLBR in PITT and SF dirs due to equip prob. 
"Feb 23, 2018 ",10 min delay on FRMT/WARM line in WARM dir due to equip prob. 
"Feb 23, 2018 ","BART recovering: 20 min delay at 12TH in FRMT, SFO and MLBR dirs due to a medical emergency. "
"Feb 23, 2018 ","10 min delay at 12TH in FRMT, SFO and MLBR dirs due to a medical emergency. "
"Feb 23, 2018 ",A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX 
"Feb 23, 2018 ",10 min delay system wide due to earlier seismic activity. 
"Feb 23, 2018 ","BART recovering: 10 min delay at MACR in PITT, RICH and SFO dirs due to an earlier equipment prob on track. "
"Feb 23, 2018 ",10 min delay at MACR in PITT and SFO dirs due to equip prob. 
"Feb 23, 2018 ",BART recovering: 10 min delay on SF line in East Bay dir due to equip prob. 
"Feb 22, 2018 ",BART recovering: 10 min delay at HAYW in RICH and DALY dirs due to equip prob. 
"Feb 22, 2018 ",10 min delay at HAYW in RICH and DALY dirs due to equip prob. 
"Feb 22, 2018 ",This is a test of BART svc advisory system. This is only a test 
"Feb 21, 2018 ",BART recovering: 10 min delay at WOAK in SF and East Bay dirs due to police activity. 
"Feb 21, 2018 ",10 min delay at WOAK in SF and East Bay dirs due to police activity. 
"Feb 21, 2018 ","BART recovering: 20 min delay between SSAN and SFO in SFO, MLBR and East Bay dirs due to equip prob. "
"Feb 21, 2018 ","20 min delay between SSAN and SFO in SFO, MLBR and East Bay dirs due to equip prob. "
"Feb 20, 2018 ","BART recovering: 10 min delay system wide due to equipment probs on trains, a medical emergency and debris in trackway. "
"Feb 20, 2018 ",BART recovering: 10 min delay at SF stns in all dirs due to earlier medical emergencies at EMBR and an equipment prob in tracks at 24th st 
"Feb 20, 2018 ","10 min delay in downtown Oak in SFO, MLBR and DALY dirs due to earlier medical emergencies at EMBR. "
"Feb 20, 2018 ","10 min delay on PITT line in SFO, MLBR and MONT dirs due to equip prob. "
"Feb 19, 2018 ",Trains are now stopping at SANL. Normal stn stops at SANL stn. 
"Feb 19, 2018 ",Trains are not stopping at SANL due to police activity. 
"Feb 19, 2018 ","BART recovering: 10 min delay at POWL in SFO, MLBR and DALY dirs due to an earlier police activity. "
"Feb 19, 2018 ","10 min delay at POWL in SFO, MLBR and DALY dirs due to police activity. "
"Feb 18, 2018 ","BART recovering: 10 min delay at MACR on FRMT line in WARM, RICH and SFO dirs due to police activity. "
"Feb 18, 2018 ",Trains are now stopping at MACR stn. 
"Feb 18, 2018 ",Trains are not stopping at MACR on FRMT line due to police activity. 
"Feb 18, 2018 ","BART recovering: 10 min delay between SHAY and UCTY on FRMT line in WARM, FRMT, RICH and DALY dirs due to equip prob. "
"Feb 18, 2018 ",10 min delay at SHAY in WARM and FRMT dirs due to equip prob. 
"Feb 17, 2018 ","BART recovering: 10 min delay in berkeley hills tunnel in PITT, SFO and MLBR dirs due to track maint. "
"Feb 17, 2018 ","Major delay in berkeley hills tunnel in PITT, SFO and MLBR dirs due to track maint. "
"Feb 17, 2018 ","BART recovering: 10 min delay at 16TH in SFO, MLBR and DALY dirs due to police activity. "
"Feb 17, 2018 ","10 min delay at 16TH in SFO, MLBR and DALY dirs due to police activity. "
"Feb 16, 2018 ",BART recovering: 10 min delay on SF line in East Bay dir due to police activity. 
"Feb 16, 2018 ","BART recovering: 10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to police activity. "
"Feb 16, 2018 ","10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to police activity. "
"Feb 16, 2018 ",BART recovering: 10 min delay at 24TH in East Bay dir due to police activity. 
"Feb 16, 2018 ",10 min delay at 24TH in East Bay dir due to police activity. 
"Feb 16, 2018 ","BART recovering: 10 min delay at CIVC in PITT, DUBL, WARM, RICH, SFO, MLBR and DALY dirs due to police activity. "
"Feb 13, 2018 ",BART recovering: major delay on FRMT line due to police activity at SANL. We are resuming normal svc. 
"Feb 13, 2018 ",Stn closure at SANL due to police activity. Trains will be turning back at COLS and bayfair stns. 
"Feb 13, 2018 ",Major delay on FRMT line due to police activity at SANL. 
"Feb 13, 2018 ",15 min delay at FRMT in RICH and DALY dirs due to a disabled train. 
"Feb 13, 2018 ",BART recovering: 15 min delay at COLS in DUBL and WARM dirs due to police activity. 
"Feb 13, 2018 ","10 min delay at COLS in DUBL, WARM, RICH and SF dirs due to police activity. "
"Feb 12, 2018 ",10 min delay on PITT line in SFO dir due to equip prob. 
"Feb 12, 2018 ",10 min delay at WARM in RICH dir due to police activity. 
"Feb 11, 2018 ",BART recovering: 15 min delay at WOAK in PITT and DUBL dirs due to police activity. 
"Feb 11, 2018 ",10 min delay at WOAK in PITT and DUBL dirs due to police activity. 
"Feb 11, 2018 ",BART recovering: 20 min delay at PLZA in RICH dir due to police activity. 
"Feb 11, 2018 ",20 min delay at PLZA in RICH dir due to police activity. 
"Feb 10, 2018 ",BART recovering: 10 min delay at DALY in SF and East Bay dirs due to police activity. 
"Feb 10, 2018 ",10 min delay at DALY in SF and East Bay dirs due to police activity. 
"Feb 10, 2018 ","BART recovering: 20 min delay at 12TH in WARM, SFO and MLBR dirs due to equip prob. "
"Feb 10, 2018 ","10 min delay at 12TH in WARM, SFO and MLBR dirs due to equip prob. "
"Feb 10, 2018 ","10 min delay at LAKE in DUBL, WARM and FRMT dirs due to police activity. "
"Feb 09, 2018 ",BART recovering: 10 min delay at BAYF in all dirs due to equip prob. 
"Feb 09, 2018 ","20 min delay in PITT, WARM, RICH and SFO dirs due to equip prob. "
"Feb 09, 2018 ","BART recovering: major delay between SANL and HAYW on WARM line in DUBL, WARM, RICH and DALY dirs due to equip prob. "
"Feb 09, 2018 ",Stn closure at BAYF due to equip prob. 
"Feb 09, 2018 ",A detailed BART service advisory has been issued: https://t.co/G8ClxdpM6v 
"Feb 09, 2018 ","Major delay at SANL on WARM line in DUBL, WARM, RICH and DALY dirs due to equip prob. "
"Feb 09, 2018 ","BART recovering: major delay at COLS on WARM line in DUBL, WARM, RICH and DALY dirs due to equip prob. "
"Feb 09, 2018 ","Major delay near COLS stn on WARM line in DUBL, WARM, RICH and DALY dirs due to a prob currently being investigated. "
"Feb 09, 2018 ",20 min delay at COLS on WARM line in DUBL and WARM dirs due to a prob currently being investigated. 
"Feb 08, 2018 ",BART recovering: 10 min delay between WOAK and 12TH in DUBL and RICH dirs due to equip prob. 
"Feb 08, 2018 ",10 min delay between WOAK and 12TH in DUBL and RICH dirs due to equip prob. 
"Feb 07, 2018 ","BART recovering: 10 min delay in downtown Oak in SFO, MLBR and DALY dirs due to police activity at WOAK. "
"Feb 07, 2018 ","10 min delay in downtown Oak in SFO, MLBR and DALY dirs due to police activity at WOAK. "
"Feb 06, 2018 ",BART recovering: 10 min delay on PITT line in PITT dir due to equip prob. 
"Feb 05, 2018 ","10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to a medical emergency and police activity. "
"Feb 05, 2018 ","10 min delay at SF stns in SFO, MLBR and DALY dirs due to a medical emergency and police activity. "
"Feb 03, 2018 ","10 min delay between 24TH and POWL on SF line in PITT dir due to ongoing track maintenance through february 9, 2018. "
"Feb 02, 2018 ",BART recovering: 10 min delay between SF and peninsula stns and East Bay stns in East Bay dir. 
"Feb 02, 2018 ",BART recovering: 20 min delay system wide in all dirs due to equip prob. 
"Feb 02, 2018 ",BART recovering: 20 min delay at WOAK in SF dir due to equip prob. 
"Feb 02, 2018 ",20 min delay at WOAK in SF dir due to equip prob. 
"Feb 02, 2018 ","10 min delay between 24TH and POWL on SF line in PITT dir due to ongoing track maintenance through february 9, 2018. "
"Feb 01, 2018 ",BART recovering: 20 min delay on WARM/FRMT lines in all dirs due to earlier single tracking in SHAY area. 
"Feb 01, 2018 ",A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX 
"Feb 01, 2018 ",Major delay on FRMT and WARM lines in all dirs due to a derailed maintenance vehicle in SHAY area. 
"Feb 01, 2018 ","10 min delay between 24TH and POWL on SF line in PITT dir due to ongoing track maintenance through february 9, 2018. "
"Jan 31, 2018 ",BART recovering: 10 min delay between SF stns and East Bay stns in East Bay dir due to equip prob. 
"Jan 31, 2018 ","BART recovering: 10 min delay on RICH line in FRMT, RICH and MLBR dirs due to obstruction. "
"Jan 31, 2018 ","10 min delay on RICH line in FRMT, RICH and MLBR dirs due to obstruction. "
"Jan 31, 2018 ",10 min delay at 12TH in WARM and SFO dirs due to police activity. 
"Jan 31, 2018 ",BART recovering: 10 min delay on PITT line in PITT dir due to police activity at 24th and mission stn. 
"Jan 31, 2018 ","10 min delay between 24TH and POWL on SF line in PITT dir due to ongoing track maintenance through february 9, 2018. "
"Jan 30, 2018 ","10 min delay between 24TH and POWL on SF line in PITT dir due to ongoing track maintenance through february 9, 2018. "
"Jan 29, 2018 ",BART recovering: 10 min delay at SANL in RICH and DALY dirs due to equip prob. 
"Jan 29, 2018 ",10 min delay at SANL in RICH and DALY dirs due to equip prob. 
"Jan 29, 2018 ",BART recovering: 10 min delay between BAYF and SANL in dirs due to an earlier equipment prob on a train. 
"Jan 29, 2018 ",10 min delay between BAYF and SANL in all dirs due to equip prob. 
"Jan 29, 2018 ","BART recovering: 10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to equip prob. "
