,Destination,Throughput
0,12TH,666178
1,16TH,680512
2,19TH,623175
3,24TH,674224
4,ASHB,276731
5,BALB,574654
6,BAYF,296733
7,CAST,145504
8,CIVC,1136564
9,COLM,221264
10,COLS,322569
11,CONC,297875
12,DALY,481968
13,DBRK,664072
14,DELN,442678
15,DUBL,378595
16,EMBR,2266562
17,FRMT,437740
18,FTVL,428944
19,GLEN,373344
20,HAYW,258262
21,LAFY,180765
22,LAKE,366004
23,MCAR,455805
24,MLBR,348278
25,MONT,2100371
26,NBRK,239790
27,NCON,126000
28,OAKL,65626
29,ORIN,149539
30,PHIL,342595
31,PITT,311814
32,PLZA,251083
33,POWL,1580589
34,RICH,212563
35,ROCK,301116
36,SANL,295503
37,SBRN,199989
38,SFIA,303589
39,SHAY,147179
40,SSAN,178174
41,UCTY,240626
42,WCRK,338600
43,WDUB,179212
44,WOAK,357574
